🇨🇳央视,#genre#
CCTV1综合,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227479/index.m3u8?$IPTV
CCTV2财经,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227477/index.m3u8?$IPTV
CCTV2财经,http://1.195.111.251:11190/tsfile/live/0002_1.m3u8?$高清
CCTV3综艺,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227435/index.m3u8?$IPTV
CCTV4国际,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227373/index.m3u8?$IPTV
CCTV5体育,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227491/index.m3u8?$IPTV
CCTV5+赛事,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227493/index.m3u8?$IPTV
CCTV6电影,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227431/index.m3u8?$IPTV
CCTV7国防军事,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227429/index.m3u8?$IPTV
CCTV7国防军事,http://1.195.111.251:11190/tsfile/live/0007_1.m3u8?$咪咕
CCTV8电视剧,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227427/index.m3u8?$IPTV
CCTV8电视剧,http://1.195.111.251:11190/tsfile/live/0008_1.m3u8?$高清
CCTV9纪录,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227425/index.m3u8?$IPTV
CCTV9纪录,http://1.195.111.251:11190/tsfile/live/0009_1.m3u8?$高清
CCTV10科教,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227375/index.m3u8?$IPTV
CCTV11戏曲,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227922/index.m3u8?$IPTV
CCTV11戏曲,http://1.195.111.251:11190/tsfile/live/0011_1.m3u8?$高清
CCTV12社会与法,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227377/index.m3u8?$IPTV
CCTV12社会与法,http://1.195.111.251:11190/tsfile/live/0012_1.m3u8?$高清
CCTV13新闻,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227926/index.m3u8?$IPTV
CCTV14少儿,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227379/index.m3u8?$IPTV
CCTV15音乐,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227933/index.m3u8?$IPTV
CCTV17农业,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227577/index.m3u8?$IPTV
CETV②教育台,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227940/index.m3u8?$IPTV
CETV④教育台,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227337/index.m3u8?$IPTV
CCTV移动电视,http://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/649e19038fa74514ab3f00febbcd6de0/1200.m3u8
🐼丨央视频道,#genre#
CCTV1,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226231/index.m3u8
CCTV2,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8
CCTV3,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226397/index.m3u8
CCTV4,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8
CCTV5,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8
CCTV5+,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226221/index.m3u8
CCTV6,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226393/index.m3u8
CCTV7,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226192/index.m3u8
CCTV8,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226391/index.m3u8
CCTV9,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226197/index.m3u8
CCTV10,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226189/index.m3u8
CCTV11,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226240/index.m3u8
CCTV12,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226190/index.m3u8
